"ordre","franja","tipo_dia","media_hw","sd_hw","n"
34,"10-12h","Laborable",9.1780701754386,5.36822649955153,190
35,"10-12h","Laborable",9.11117117117117,5.31458873210664,185
36,"10-12h","Laborable",9.4561553030303,5.35079151455661,176
37,"10-12h","Laborable",9.13432971014492,5.62508562201465,184
38,"10-12h","Laborable",9.30755919854281,5.71337159748739,183
39,"10-12h","Laborable",9.27407407407407,5.6479929083277,171
16,"10-12h","Laborable",9.39350961538462,4.31089624457248,208
17,"10-12h","Laborable",9.33276972624798,4.33219470404187,207
18,"10-12h","Laborable",9.42416267942584,4.45416587550184,209
16,"12-14h","Laborable",9.64918879056047,3.98881282264238,226
13,"6-8h","Laborable",8.78101851851852,3.26746814755297,252
14,"6-8h","Laborable",8.77002688172044,3.36392873787191,248
15,"6-8h","Laborable",8.81024590163935,3.65151279742319,244
16,"6-8h","Laborable",8.82081604426003,3.58693795801243,241
20,"6-8h","Laborable",8.81330645161291,3.93372415076111,248
21,"6-8h","Laborable",8.85790172642762,4.05149390577425,251
25,"6-8h","Laborable",8.81159122085048,4.31086427636643,243
27,"6-8h","Laborable",8.96694444444444,4.39442002977747,240
1,"18-20h","Laborable",10.4930139720559,1.80191435586003,167
2,"18-20h","Laborable",10.5049494949495,2.45497822878376,165
3,"18-20h","Laborable",10.4247942386831,2.52377120791848,162
4,"18-20h","Laborable",10.5731481481481,2.7684273439251,162
5,"18-20h","Laborable",10.5479957805907,2.97856185201528,158
6,"18-20h","Laborable",10.4965235173824,3.31297406680318,163
7,"18-20h","Laborable",10.3522916666667,3.39277425525188,160
8,"18-20h","Laborable",10.4456032719836,3.7079077197015,163
9,"18-20h","Laborable",10.3242825607064,3.94798201387106,151
10,"18-20h","Laborable",10.3393660531697,3.83939930772904,163
11,"18-20h","Laborable",10.2322222222222,3.69710604253298,150
12,"18-20h","Laborable",10.3337634408602,3.82969286403673,155
13,"18-20h","Laborable",10.2544585987261,3.97910111243517,157
14,"18-20h","Laborable",10.2880952380952,4.2153169894361,161
15,"18-20h","Laborable",10.4594339622642,4.43488580741725,159
